textDisplay,label_manual
"Anak2 kalimantan harusnya ikut jaga hutan mereka. Jangan menunggu pemerintah, ga akan bener. Hayu donk, semangat!",1
Kerja jokowi itu dulunya tukang meabel sekarang jd presiden engga heran bebas tubang kayu,0
"Biar Jawa aja yg rusak, Kalimantan, sumatera, Sulawesi, Papua dan Pulau yg lain biar tetap hijau lestari",0
Manusia adalah mahlukhidup primata yang mengancam kehidupan hewan,0
pembukaan lahan sawit yang menjadi penyebab utama kehancuran hutan. kalau pertambangan emas mereka beroperasi sekitar sungai sungai yang bikin pendangkalan.,0
Pemerintah serakah,1
Tekonologi hasil hutan...,1
"Apa nyimak berita nih pejabat pusat dan daerah kalimantan tengah , somga melek hati dan pikiran nya",0
semua keputusan pak Jokowi adalah jalan terbaik menurut ku gk usah protes sih.ya nikmatin aja..iakan,2
"indonesia paru paru dunia, tapi indonesia ndak dapat apa apa, indonesia lebih butuh makan cok.",0
Akibat manusia rakus....,1
"AKU(ALLAH SWT)YG MENUMBUHKAN TANAMAN,AKU YG MENYUBURKAN HUTAN.KALIAN MANUSIA YG MERUSAK.MAKA KALIAN JUGA YG AKAN AKU(ALLAH SUBHANAWATA&#39;ALA)SIKSA...",0
Allah subhanawata&#39;ala sudah berfirman di dalam ayat suci Alqur&#39;an.bahwa...klu kalian merusak hutan yg AKU(Allah swt)ciptakan...<br>lihat lah oleh kalian.akan AKU SIKSA KALIAN DENGAN SIKSA YG SANGAT PEDIH.JANJIKU PASTI(QUNFAYAKUN),0
Investasi lebih bnyak merusak ketimbang membangun,0
"ntar giliran oksigen waktu nya bayar, baru nyengir dan nyesel.... gantian diambang punah baru mikir.... memang lucu kok manusia glutony mah",0
"duitnya bukan dibuat untuk bikin air bersih se DKI biar ga pake sumur lagi, eh malah rusak pulau lain biar pas hari kiamat dijakarta bisa ditonton dari intana negara yg baru. gali lubang tutup lubang,.. yg di demo mati matian malah pembangunan gereja, bukan yg begini begini. nasib lu indon... sedih Amat.",0
"tunggu je ancur , perlahan dan menyakitkan, dan diorang tak sadar dengan kondisinya sendiri yg semakin hancur secara perlahan",0
Klo IKN?,1
"Mari kita tunggu disaat IKN sdh jadi, saya yakin banyak putra daerah jadi babu, mau hidup dihutan? Gk bisa bos, hutan dah habis kaya jakarta, siap2 jdi langganan banjir, karena daerah Banjarmasin, Banjar baru, Martapura sudah bisa banjir, kalo dulu tidak pernah banjir, terima kasih pak de wowo dan jajaran banteng 😂😂",0
Di tanam lagi dong,2
Kalianlah narasi... yg terdepan ... smoga selalu teliti dan tajam pada orang yg rakus kapitalistik,1
Harusnya penebangan liar untuk itulah yang kalian demo <br>Sudah merusak hutan satwa liar jadi hilang<br>Ada jelasnya kalian perjuanganin tanah sendiri,0
Mungkin niatnya baek...agar kalimantan bs segermelap hongkong dan singapur😂,2
Sejuk membara<br>Hutanku hilang <br>Tidak ada manfaat positif dengan kebun kelapa sawit dan pertambangan...<br>Terjadi kolonialisme...<br>Di Indonesia.,0
"Dulu itu Indonesia dari hutan hutannya termasuk seperempat paru paru dunia ,sekarang 😢",0
"Orang orang di perkotaan hanya bisa bersuara jaga hutan-jaga hutan, tpi tidak memperhatikan kesejahteraan masyarakat yg jauh tertinggal. saat masyarakat bergerak ingin maju, maka hutan adalah sasaran. Karena cuma itu cara mereka bs lakukan.",0
Ya bisa digunakan seperlunya aja jangan ugal2an,2
"Selama kemiskinan masih menyelimuti dan dirasakan rakyat pedalaman Kalimantan, Hutan tidak akan mampu di pertahankan, karena hal tsb adalah satu satunya cara mereka bisa hidup layak. Utk pemerintah: Tingkatkan kesejahteraan masyarakatnya, jika ingin masyarakat bs menjaga hutan nya.",2
"Segmen2 yg diberikan tuhan sbg proses n prosedur akn hancurnya bumi oleh penghuni bumi,,,tak bs dipungkiri jk sesuatu tu ada masa/waktunya smw tp dtg nya masa tu bs lbh lama atau pun lbh cpt tergantung pd pemakai bumi tu sndri,jk skrg mah diliat2 bumi udh dlm proses penghancuran total,,,sampah dimana2 byk,cuaca jd extrem perubahannya srrtu suhu yg semakin panas,tak bs dipungkiri manusia nya yg pling berkontribusi tuk tu smw,,,seberapa mw menyelamatkan humi tu tergantung pd mamusia yg diciptakan tuhan sbg penghuni yg dominan dlm mengontrol bumi.",0
Faktor nya ...ulah manusia2 serakah perusak Alam ya itu.,0
Kafitalis😢,0
"Selama elite elite oligarki tetap ada dan tidak punya pemimpin yg pintar mengatur negeri ini, yakinlahhhhh yakinlahhhh... Indonesia akan hancurrrr... Papua akan hancur... Kalimantan akan hancurrr,, bersiaplah rakyat kecil tersingkir oleh bencana alam dan lain2 akibat ulah elite oligarki yg bermain main dengan bumi dan tanah air negeri kita",0
"Suatu saat nanti kalimantan akan seperti jakarta <a href=""http://www.youtube.com/results?search_query=%23jokowi"">#jokowi</a>",2
😂😂😂😂😂😂😂warga kalimantan nya pada tidur😂😂😂😂😂😂,0
"Masa sih pribumi cuma di janjikan dapat kerjaan rela hutannya di gundul,",0
oligarki adalah jalan ninjaku - mungkin kata pemerintah,0
Jika para pelakunya baik itu dari mereka yang memberi izin dan yang mengeksekusi hutannya tak mendapat hukuman di dunia tunggulah nanti di akhirat karena merusak alam itu salah satu dosa yang besar.,0
"Akibat pemimpin tdk paham dan tdk punya kuasa, hanya didikte oleh partai, oligarki dan kepentingannya sendiri, rusak dan habislah hutan dan sumber daya alam kita 😢",1
Yg eksekusi Prabowo dan Gerindra yg disalahkan presiden nya,1
"Perusakan hutan entah namanya deforestasi adalah bentuk &#39;kejahatan&#39; karena imbas kerusakan setelahnya seperti bola salju bukan saja bagi manusia tapi bagi hewan dan lingkungan juga.di negeri konoha ini pelakunya jarang dibidik, sementara yang merubah tanah gersang digantar , indramayu menjadi hijau asri dan faunapun berkumpul kembali ,hari ini dibidik dengan pasal berlapis.sangat miris",0
"Pokoknya yang penting dapat cuan, klau gagal urusan belakang. Kalau rakyat demo cukup kerahkan polisi. Nanti juga bubar",1
Babad terus pak Jokowi hutannya...😂😂😂😂..demi invetasi abaikan saja AMDAL...bubar kan kementrian lingkungan hidup...,0
Tanyakan Pada Prabowo dan Gerindra yg diberi tanggung jawab eksekusi proyek,1
"Presiden Soeharto (mertuanya Prabowo) dulu di tahun 90 an punya program sawah sejuta hektar di kalimantan kejadiannya sama, hutan sdh dibabat dan lingkungan rusak dan sawahnya tidak bisa di tanami dan proyek sawah sejuta hektar Gagal Total, kenapa begitu?? Tanah di kalimantan itu adalah tanah gambut yang pHnya sangat asam dan sulit dinetralkan sampai mendekati pH 7 bisa tapi mahal (tidak ekonomis) agar cocok untuk padi atau tanaman singkong, kalau proyek itu gagal...jokowi harus sadar tanah gambut itu cocoknya untuk tanaman keras (tanaman hutan)... sekarang tinggal diperiksa saja uang proyeknya ada korupsi atau tidak??",1
sedih ya...,0
"Yg membuat kebijakan yg harus bertanggung jawab dan di tangkap,, utamanya presiden Jokowi Dodo,,",0
"Kayu Borneo, kayu Ulin, kayu jati item, kayu gabus, kayu Dolken semuanya punah ,.... karena rakyat terus bertambah,..... rakyat Indonesia sudah banyak yang pusing, puyeng dengan desakkan kebutuhan ekonomi, ...... tuntutan syahwat, bela kepentingan syahwat,... akibatnya &quot; dibabat habis isi hutan,........Alam jadi korban,.... Anak cucu tidak lagi nikmati, tidak lagi punya kenangan, esok lusa tunggu kemarahan alam,.. kehancuran alam, untuk di tumbalkan, ditundukkan, disembahkan kepada Allah, Tuhan Maha memelihara Alam.....,Maha menundukkan Alam,..... Allahu Akbar tinggal mengutus angin, ....badai akan meniupkan... meluluhlantakkan.....",1
Kebijakan terhadap tambang terkait revitalisasi dan pengijauaan kembali sering di idahkan. Kesannya mereka hanya mengeruk hasilnya lalu meninggalkannya. hal ini terbukti banyak lahan&quot; bekas galian dibiarkan mengganga dan banyak lahannya tidak di hijaukan kembali. Dampaknya bisa di simpulkan sendiri.,0
"Banjir januari 2021 di Kalimantan Selatan paling parah tapi kenapa tidak diliput ??? Yg diliput cuma Kalteng &amp; Kalbar saja ???<br>Padahal di Kalsel, dari 13 kabupaten/kotamadya, ada 10 kabupaten/kotamadya terendam banjir<br>Bahkan tinggi air mencapai 3 meter di kabupaten HST<br>Banyak rumah/bangunan hancur diterjang banjir, dan memakan beberapa korban jiwa juga<br>Saya sebagai orang di kabupaten HST menyaksikan sendiri situasi banjir saat itu rasanya seperti kiamat,tapi yang anehnya berita-berita di TV nasional memberitakannya biasa² saja &amp; yg direkam cuma di daerah air yang surut saja<br>Ribuan warga terjebak diatas atap rumah siang malam kedinginan kehujanan &amp; kelaparan selama 2 hari<br>Hari ke 3 pasca banjir tim emergency baru bisa memberikan bantuan, itupun dengan usaha ekstra karna ketinggian air masih tinggi &amp; arus banjir masih deras",1
"Setuju hutan di babat untuk pembukaan lahan pertanian agar pangan indonesia terpenuhi, jangan dengarkan omongan orang luar negeri",2
Udah paling bener konsep federasi dimana setiap pulau mengurus daerahnya sendiri <br>Kebijakan pusat menghancurkan ekosistem daerah,1
"Nih chanel kok fitnah pak soeharto,,min asal kau tau klw gak ada pak soeharto negara ini sdh hancur jdi negara komunis,,gak tau diri",0
Mau bagaimanapun semua butuh hutan dan kayu. Untuk furnitur kertas dan lain2. Pro alam ga usah pakai produk dri hutan. <br>Pemukimam pun trus d buka d mna2. Ga bisa d hindari itu. Sya jga asli kalimantan. Bahkan ikn baru jga sdah babat brpa bnyak hutan?,2
INILAH BUNTUT DARI KESERAKAHAN MANUSIA SANGAT MENGERIKAN😢,0
"Pada intinya kapitalis ingin mengatur dan menguasai sda dunia. Di satu sisi para kapitalis butuh banyak SDA, di sisi lain mereka menggaungkan pentingnya lingkungan hidup. Mereka ingin SDA murah. Para kapitalis menekan dg isu lingkungan hidup jika keinginannya terganggu dan tak terpenuhi. Padahal mereka juga yg sebetulnya merusak.",0
"Gimana tidak banjir hutan setiap hari ditebang, ber ponton ponton saban hari lewatt sungai bermuatan kayu diberau juga",0
"1970 : Kayu, 1990 : Sawit &amp; Pertambangan, Perubahan Hutan di Kalimantan <a href=""https://www.youtube.com/watch?v=WHe9DfHKhIM&amp;t=192"">3:12</a>, Proses Deforestasi <a href=""https://www.youtube.com/watch?v=WHe9DfHKhIM&amp;t=269"">4:29</a>, Tree Cover Loss in Indonesia <a href=""https://www.youtube.com/watch?v=WHe9DfHKhIM&amp;t=402"">6:42</a>, Dampak Deforestasi dan Emisi Gas Karbon <a href=""https://www.youtube.com/watch?v=WHe9DfHKhIM&amp;t=470"">7:50</a>, Kebijakan Moratarium bukan solusi <a href=""https://www.youtube.com/watch?v=WHe9DfHKhIM&amp;t=535"">8:55</a>",1
negri ini. di rusak tidak di lestarikan dwminproyek Mega besar dan hutan hutan di babat kayunya. untuk. bisnis. mafia mafia dan oknum cukong. dan aseng berduit. uannygya masuk. nya kemana? hasil kayu. pohon pohon yg di tebang,0
british bngt kwkwkw,1
Hujan sebentar kita sudah kebanjiran apalagi kalau sudah jadi ibu kota,1
"Terima kasih pada para kapitalis dan guardiannya yaitu pemerintah, atas keserakahannya mengeruk semua karta karun Indonesia",0
Ini tak akan berakhir jika masyarakat kalimantan tdk bersatu melawan kebijakan yg merugikan mereka sendiri.<br>Masyarakat uni eropa saja sdh menolak produk kelapa sawit indonesia demi terjaganya hutan indonesia.,1
"Sumatera udah gundul duluan hutan nya,ditanam sawit semua.panas cuaca nya disini luar biasa.",0
"Pertama² terimakasih untuk redaksi team narasi telah menyampaikan informasi ini , saya orang kaliamantan sebenarnya tau dan faham akan dampak ini tetapi dia pernah berpikir akan separah ini ,sedih dan berharap supaya para pemimpin tidak hanya mata duitan dalam menagani kasus ini kita lihat 2023-2024 apakah masih di ijinkan membuka lahan baru lagi.",1
Menurut mimin apa yg harus kami lakukan sbgai org asli kalimantan. .??<br>Selama oligarki daerah punya sircle yg baik dgn penguasa pusat. .smua yg mimin ucapkan hanyalh sebuah dongeng belaka. .kami butuh solusi yg menguntungkn semua pihak ga cma di ekspos aja tnpa tindkan semua pihak🙏🙏,1
Tolong lah... IKN dan perusahaan yg merusak kalimantan jangan di terima. Masyarakat sekitar tidak merasakan hasilnya juga &amp; malah muncul masalah baru yg sangat mengkhawatirkan kalimantan sekitar.,1
Jakarta aja hutannya dipindahin,1
Paru paru dunia hancur,0
"yg dikeruk alamnya kalimantan, yg kaya orang jakarta 😂",0
orang2 sampah yg cuma mikirin duitduitduit,0
Itulah kerakusan pemerintahan indonesia.yg mengakibat kan kehancuran bagi kehidupan.,0
"Kalau kamu terbang dari Kaltim Ke Kalsel atau dari Kaltim ke Kaltara pakai pesawat baling2 yg terbangnya relatif rendah, atau naik mobil lintas kaltim kalsel... Akan nampak pemandangan petak2 sawit yang begitu luas tiada habisnya",1
Indonesia ga ada abisnya yg kecot2 🗿,1
Kenapa hanya Kalbar Kalteng? Kalsel juga 13 kabupaten bos terendam banjir,0
RI negara terkorup nomer 8 di dunia ini... Ya gini pejabatnya,1
Makin panas nya cuaca yg ada dikota2 di Indonesia apakah pengaruh dari ada nya deforestasi hutan yg ad dikalimantan??? Kalau memang bener kacau yg pemegang regulasi 😪,0
"Saya penduduk asli kalbar...<br>Deforestasi di hutan kalimantan Barat berdampak langsung terhadap iklim sangat benar adanya &amp; dampak yang sudah terjadi antara lain : banjir, iklim tak menentu, suhu terasa jauh lebih panas, dan yang sangat disayangkan sudah banyak hutan adat yang sudah dialih fungsi kan menjadi lahan sawit, yang menurut saya hutan adat ini adalah pertahan terakhir hutan kalimantan.",0
Sdh saatnya kalian bersatu untuk menolak defortasi hutan krn itu akan merugikan kalian sendiri..,0
"Yaaaaa betul siii.... tp kembali lagi yah. kalau tidak ada sawit dan batubara, kita2 semua mandi pakai sabun dan shampoo apa ? Sikat gigi pakai apa ? Kue cemilan pakai apa ? Nge charge HP pakai apa ? Malam panas pakai AC listriknya drmna ? <br><br>Kalau benci thdp kenyataan tsb jangan mandi, jangan pakai hp, jangan makan processed food.<br><br>Bisa ? <br><br>Ada harga yg hrs dibayar<br><br>GREEN ENERGY dooongg !!!<br>Yakin ??<br>BBM naik 500 perak 1000 perak aja demo setengah mati<br><br>Green energy bisa bayar 2x lipatnya 😂<br><br>Yah mau gmana lg<br>Ini lah kenyataan <br>Ini lah pola hidup kita selama ini<br>Kita konsumen pun jg kontribusi thdp deforestasi ini<br><br>Cheers",1
"<a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a>",1
"Kalau saya sih setuju hutan kalimantan gndul, karena kita produksi oksigen tapi negara lain tidak pada bayar, sisakan aja untuk oksigen kita sendiri, flora dan fauna secukupnya 😅",1
"selama salah satu mata pencarian utama warga kalimantan adalah kerja pada perusahaan tambang, susah juga",1
Kalimantan Selatan juga sama hujan 1 hari juga bisa langsung banjir 😢,0
"sebagai org asli Kalimantan Tengah sudah bukan rahasia umum lagi klo hutan Kalimantan sudah banyak yang di tebang. Mulai dari tambang ilegal dan legal, perkebunan sawit, perusahaan kayu, punya peran sangat besar terhadap habisnya hutan Kalimantan. Jika tidak ada ketegasan dari pemerintah dalam perawatan hutan Kalimantan. Bukan tidak mungkin Kalimantan akan lebih banyak lagi bencana yang melanda",0
emang di jakarta ada hutan? meggurui pulau lain pulau jawa penuh manusia gada tuh yang sadar. sampe mau tenggeleam juga,0
EPIC CONTENT!,2
👍👍👍👍👍👍👍,1
"Apakah hanya warga Kalimantan yg harus bertanggung jawab menopang oksigen seluruh dunia? Kebun sawit dan tambang2 itu sdh mengantar putra putri kalimantan untuk bs berkuliah sampai ke pulau2 jawa bahkan keluar negeri. Yg punya konsen dgn emisi karbon, dll bs lakukan tindakan ini jg: tanam pohon banyak2 d lingkungan sendiri, kurangi penggunaan listrik, atau kurangi wara wiri dgn kendaraan pribadi, kurangi naik pesawat krn itu penyumbang emisi tinggi, kurangi makan daging2 hasil peternakan dll.",0
"Kan memanfaatkan lahan yang TIDAK PRODUKTIF 😂😂😂<br><br>HUTAN LINDUNG itu TIDAK PRODUKTIF, semua demi CUAN 😂😂😂<br><br>Makanya saya bilang, kl Pasar Modal rontok habis, Bumi akan ada waktu utk perbaikan. Terbukti saat Corona, 2020 kemarin. 😊 Cuma kemudian Corona ajang CUAN lagi 😂😂😂<br><br>Kl pasar modal tidak rontok, maka mereka tetap akan ada DUITnya dan akan terus ekspansi. Salah satunya DeForestasi... Bullshit lah ama regulasi... 😂😂😂<br><br>Ayo dukung DeForestasi biar CUAN 😂😂😂",0
"Siapapun presidennya sama ajah pengeruk/ tukang keruk SDA, cuman lebih parah jokowi daripada suharto.",0
Program food security gagal total!<br>Paling ujungnya dijadiin lahan sawit,0
apakah mereka orang istana tidak membaca komentar kami sebagai anak kalimantan,1
Ini lagi mau mindahin ibu kota ke Kalimantan bikin tambah rusak hutan disana,0
"Kalimantam sumatera bahkah papua saat ini gak bisa hidup jika tidak membuka lahan perkebunan di hutan, manusia semakin banyak kalau gak bertani membuka hutan gimana mau memenuhi kebutuhan hidup pohon tinggi daun rindang udara segar tidak bisa di jadikan pembeli beras bayar spp sekolah anak jajan anak kalau orang luar negeri merasa indonesia paru2 dunia dan minta agar jangan merambah hutan harusnya orang2 itu bayar jika ingin menjadikan indonesia paru2 dunia biayai hidup orang2 di kalimantan sumatera papua saya yakin jika ada timbal balik orang juga malas bertani berkebun mereka siap untuk tidak buka lahan pertanian sawit jika kebutuhan hidup terpenuhi..",0
"kalau dibiarkan ya habis, masyarkat bergerak donk, klu ngarepin pemimpin2 dan wakil rakyatnya ya ga bakalan, mereka pikirannya cuman uang",1
Semoga tidak ditambah lagi kerusakan hutan Kalimantan,1
"Anggaplah semua itu telah terjadi. &quot; Hutan hancur,rakyat kena imbas bencana&quot; lalu hasil dari hutan itu ntah kemana?? Dulu saya pernah berkuliah di fakultas kehutanan 2009 , &quot;deforestasi&quot; adalah salah satu mata kuliah tersendiri tidak lagi tergabung dlm ilmu kehutanan. Ini membuktikan bahwa hutan Indonesia telah benar-benar hancur.",1
"Apa kabarnya daerah Kendawangan Ketapang Kalimantan Barat??? Tempat tambang bauksit, biji besi, tembang emas, sawit.. <br>Bagaimana insfrastruktur disana.. ?? 😅😅 hahaha, jauh panggang dari api",0
Emang ada benernya. Banyaknya populasi manusia bikin dunia dan alam rusak. Perlu adanya depopulasi manusia ini sih. 😅,1
"Hutan dijaga hijau, emank dunia kasih kompensasi yang setara dengan industrialisasi?<br>APBN pake uang bukan oksigen.",1
Buat organisasi yang merangkul aktivis lingkungan sebagai penyeimbang,2
"Narasi telat nih, coba aja klo waktu 2010an ngeriset soal asal muasal kebakaran hutan, pasti lebih keliatan bagaiamana hjtan dibabat habis.",0
Raja KaLsel H. Isam 😢<br>Raja KaLteng H. Arsyad😢<br>Ratu KaLtim Tan PauLin😢,0
Namanya juga tukang kayu ya kerjaannya cuma ngerusak.,0
Jakarta yang sekarang adalah gambaran kalimantan puluhan tahun kedepan. Siap2 kumuh wkwk,0
"bisnis, bahan2nyaa dari perusahaan yg dimiliki para pejabat negara, tambang luhut misalkan.",0
"Dann dikemudian hari Kalimantan akhirnya akan menjadi seperti wilayah sumatera hutan akan habis berganti menjadi perkebunan kelapa sawit. Ketika musim hujan selalu banjir, ketika musim kemarau kebakaran dimana² 😓",0
