textDisplay,label_manual,cleaned_text
"Sedih banget, merasa malu jadi manusia. Cuma bisa merusak 😭",0,Sedih banget merasa malu jadi manusia Cuma bisa merusak
Serang dari segala arah.emang gue pikiran?.,1,Serang dari segala arahemang gue pikiran
SUHARTO SUDAH MATI...LAGI MENANGGUNG ATAS DOSA...DOSANYA🤣🤣🤣,1,SUHARTO SUDAH MATILAGI MENANGGUNG ATAS DOSADOSANYA
Semoga yg merusak hutan kalimantan mendpat balasan yg setimpal,0,Semoga yg merusak hutan kalimantan mendpat balasan yg setimpal
"Di luar negeri juga banyak yang gak setuju rain forest di ancuturin demi ikn makanya gak banyak infestor yang mau infest buat ikn , tapimasih di paksain sama pemerintah ingat kalimantan itu amazonnya indonesia",0,Di luar negeri juga banyak yang gak setuju rain forest di ancuturin demi ikn makanya gak banyak infestor yang mau infest buat ikn tapimasih di paksain sama pemerintah ingat kalimantan itu amazonnya indonesia
Tak masalah yg penting NKRI maju berkembang dan tuk anak cucu kita aman sentausa 👍👍👍👍🙏,2,Tak masalah yg penting NKRI maju berkembang dan tuk anak cucu kita aman sentausa
Hdh manusia serakah GK ada otak mementingkan diri sendiri tapi tidak memikirkan dampak yang terjadi gimana tidak terjadi pemanasan global hutan pada ditebang,0,Hdh manusia serakah GK ada otak mementingkan diri sendiri tapi tidak memikirkan dampak yang terjadi gimana tidak terjadi pemanasan global hutan pada ditebang
Akibat exploitasi lingkungan berlebih menimbulkan efek,0,Akibat exploitasi lingkungan berlebih menimbulkan efek
"Hutan di tebang, SDA seperti minyak batu bara emas di keruk untuk kepentingan bangsa katanya tapi yang makin kaya orang luar alias korporasi dn oligarki, masyarakat adat lokal JD penonton, jadi kuli di kampung sendiri, malah terusir dr tanah kelahirannya mengalah demi yang berkuasa",0,Hutan di tebang SDA seperti minyak batu bara emas di keruk untuk kepentingan bangsa katanya tapi yang makin kaya orang luar alias korporasi dn oligarki masyarakat adat lokal JD penonton jadi kuli di kampung sendiri malah terusir dr tanah kelahirannya mengalah demi yang berkuasa
Sudah tau seperti ini apakah di biarkan terus ...ayo Pemerintah sekarang Hijau kembali hutan..ayo tanam 271 T pohon...itu yg korupsi suruh nanam pohon saja sebanyak ituuuu,1,Sudah tau seperti ini apakah di biarkan terus ayo Pemerintah sekarang Hijau kembali hutanayo tanam T pohonitu yg korupsi suruh nanam pohon saja sebanyak ituuuu
"bagaimana bisa Indonesia emas 2045 terwujud jika hutan Kalimantan saja sudah banyak yang rusak? apalagi dgn adanya IKN? apakah para pejabat sudah melakukan banyak upaya utk memperbanyak penanaman pohon? jika sudah, kenapa masih banyak kasus banjir disini? dan kenapa masih ada saja rakyat yang membuang sampah disungai?? apakah IKN ini akan menyelesaikan masalah yg kami, para warga Kalimantan, hadapi saat ini? menyelesaikan masalah deforestasi dgn membuat kota modern? dan bukannya melakukan reboisasi pada area2 lahan kosong (dan pemindahan lokasi pohon)? <br><br>ingatlah bahwa yang namanya penyesalan itu akan selalu datang di akhir. mungkin mereka belum merasakan dampaknya, tapi itu akan terjadi ketika apa yang selama ini rakyat alami terjadi kepada mereka.",1,bagaimana bisa Indonesia emas terwujud jika hutan Kalimantan saja sudah banyak yang rusak apalagi dgn adanya IKN apakah para pejabat sudah melakukan banyak upaya utk memperbanyak penanaman pohon jika sudah kenapa masih banyak kasus banjir disini dan kenapa masih ada saja rakyat yang membuang sampah disungai apakah IKN ini akan menyelesaikan masalah yg kami para warga Kalimantan hadapi saat ini menyelesaikan masalah deforestasi dgn membuat kota modern dan bukannya melakukan reboisasi pada area lahan kosong dan pemindahan lokasi pohon ingatlah bahwa yang namanya penyesalan itu akan selalu datang di akhir mungkin mereka belum merasakan dampaknya tapi itu akan terjadi ketika apa yang selama ini rakyat alami terjadi kepada mereka
Saya setuju keluarga Jokowi dilucuti dari kekuasaan pemerintahan,0,Saya setuju keluarga Jokowi dilucuti dari kekuasaan pemerintahan
SESAMA SEMUA PERLU TAHU TERJADINYA BANJIR BESAR-BESARAN KARENA SIFAT BURUK MERUSAK ORANG MANUSIA MENUTUP PORI-PORI BUMI (DARATAN/TANAH) MEMANG SEMUA UTK ORANG TAPI HARUS TAHU PIKIRKAN KALAU TAHUNYA SAJA MERUSAK HANCUR ANJLOK TENGGELAM JADINYA SESAMA BEGITU,0,SESAMA SEMUA PERLU TAHU TERJADINYA BANJIR BESARBESARAN KARENA SIFAT BURUK MERUSAK ORANG MANUSIA MENUTUP PORIPORI BUMI DARATANTANAH MEMANG SEMUA UTK ORANG TAPI HARUS TAHU PIKIRKAN KALAU TAHUNYA SAJA MERUSAK HANCUR ANJLOK TENGGELAM JADINYA SESAMA BEGITU
Weleh itu IKN apa jgk bahaya,1,Weleh itu IKN apa jgk bahaya
"Membangun infratsruktur lahan di gundul,buat food estate hutan di babat,food estatr nya pun gagal.<br>Dmn kelebihan jokowi sbenarnya?<br>Hilirisasi Nikel yg dibanggakan penambangannya bnyk yg illegal.",1,Membangun infratsruktur lahan di gundulbuat food estate hutan di babatfood estatr nya pun gagalDmn kelebihan jokowi sbenarnyaHilirisasi Nikel yg dibanggakan penambangannya bnyk yg illegal
"Turut berduka sebagai rakyat hanya bisa jadi penonton oleh pemerintahan yg korup dan belum terciptanya pemerataan pembangunan.😢 maka jng pilih no2 karena melanggenkan lekuasaan dinasti. Nepotisme, kolusi bagi kroni2nya.😊",0,Turut berduka sebagai rakyat hanya bisa jadi penonton oleh pemerintahan yg korup dan belum terciptanya pemerataan pembangunan maka jng pilih no karena melanggenkan lekuasaan dinasti Nepotisme kolusi bagi kroninya
"jagung nya kan ditanam di polybag 😅<br>singkong nya jg gagal ..<br>hutan seluas itu digunduli tp hasilnya mengecewakan ..<br>tampak kurang nya penelitian dan kajian mendalam .. <br>dampak lingkungannya itu kan gimana coba .. <br>belum lagi soal PT agrinas yg kepengurusannya sarat nepotisme ..<br>RAKYAT CERDAS KALI, GA BISA DIBOHONGI",0,jagung nya kan ditanam di polybag singkong nya jg gagal hutan seluas itu digunduli tp hasilnya mengecewakan tampak kurang nya penelitian dan kajian mendalam dampak lingkungannya itu kan gimana coba belum lagi soal PT agrinas yg kepengurusannya sarat nepotisme RAKYAT CERDAS KALI GA BISA DIBOHONGI
"Pantesan Pulau Kalimantan daerah2nya Barusan barito dan daerah sensitif lainya daerah kalimantan sering banjir bandang sampai tiga meter empat meter tijggi banjirnya,, wong hutan lindung nya di babat di gunduli ekosystem lingkungan rusak berat, itu harus secepatnya di perbarui sebelum terlambat kalimantan tenggelam juga, tanahnya terkikis air, waduh",0,Pantesan Pulau Kalimantan daerahnya Barusan barito dan daerah sensitif lainya daerah kalimantan sering banjir bandang sampai tiga meter empat meter tijggi banjirnya wong hutan lindung nya di babat di gunduli ekosystem lingkungan rusak berat itu harus secepatnya di perbarui sebelum terlambat kalimantan tenggelam juga tanahnya terkikis air waduh
"gausah complaint kalau lu2 jga yg milih pejabat lu. udh dikasih tau masih ngeyel mayoritas orang2 didaerah2 indonesia tuh masih bisa dipolitik pola pikirnya dengan bujuk2 ini itulah, diiming2in bakal maju lah tapi gk kritis males baca apa yg mau dibangun didaerahnya dan siapa yg diuntungkan, milih pejabat aja mereka gk tau alasannya apa cma karna sekedar viral, gimik2 tapi gk pernah riset orang2 yg mereka pilih itu gagasannya apa, visinya, apa yg akan dia bangun untuk daerah2 kalian, mudah digiring opini sana sini yg blm tentu benar dan perihal lainnnya. tapi lucunya bahkan sekarang pun masih ada berita2 pratik pejabat2 menggunakan cara2 yg kurang beretika a.k.a ugal2an tapi hal itu dianggap wajar oleh masyakarat haha entah mereka sadar atau engga sedang dipolitisasi. pemegang kekuasaan yg besar dipolitik punya kesempatan besar juga untuk bermain. hanya bisa berdoa yg terbaik buat orang2 di tanah air ini yang berjuang sungguh2 buat negera ini yg mungkin digempur habis2an oleh mafia2 politik.<br><br>MUNGKIN CEPAT ATAU LAMBAT AKAN ADA WARGA YANG TERIAK &quot;BEBASKAN TANAH KAMI!!!!&quot; padahal sebelumnya mereka dan pimpinannya setuju tanahnya digunakan oleh pengusaha2 dan mengumpat orang2 yg dlu padahal simpati padanya 🤣",0,gausah complaint kalau lu jga yg milih pejabat lu udh dikasih tau masih ngeyel mayoritas orang didaerah indonesia tuh masih bisa dipolitik pola pikirnya dengan bujuk ini itulah diimingin bakal maju lah tapi gk kritis males baca apa yg mau dibangun didaerahnya dan siapa yg diuntungkan milih pejabat aja mereka gk tau alasannya apa cma karna sekedar viral gimik tapi gk pernah riset orang yg mereka pilih itu gagasannya apa visinya apa yg akan dia bangun untuk daerah kalian mudah digiring opini sana sini yg blm tentu benar dan perihal lainnnya tapi lucunya bahkan sekarang pun masih ada berita pratik pejabat menggunakan cara yg kurang beretika aka ugalan tapi hal itu dianggap wajar oleh masyakarat haha entah mereka sadar atau engga sedang dipolitisasi pemegang kekuasaan yg besar dipolitik punya kesempatan besar juga untuk bermain hanya bisa berdoa yg terbaik buat orang di tanah air ini yang berjuang sungguh buat negera ini yg mungkin digempur habisan oleh mafia politikMUNGKIN CEPAT ATAU LAMBAT AKAN ADA WARGA YANG TERIAK BEBASKAN TANAH KAMI padahal sebelumnya mereka dan pimpinannya setuju tanahnya digunakan oleh pengusaha dan mengumpat orang yg dlu padahal simpati padanya
Hutan di tebang panglima jilah senang.,0,Hutan di tebang panglima jilah senang
"Perkebunan sawit,terluas di dunia,harga minyak goreng Mahal 😎😎mana... manfaat nya buat rakyat..kecil 😎?",1,Perkebunan sawitterluas di duniaharga minyak goreng Mahal mana manfaat nya buat rakyatkecil
"Bisakah ini dibahas saat debat capres nanti, bisa isu ini dijual 🙏, ayoo siapa capres yg berani memperbaiki alam !? .😢",1,Bisakah ini dibahas saat debat capres nanti bisa isu ini dijual ayoo siapa capres yg berani memperbaiki alam
Rezim rusak alam dan merusak semua nya ..usut tuntas ulah mrk .. ganti pemerintahan masuk kan mrk ke penjara,0,Rezim rusak alam dan merusak semua nya usut tuntas ulah mrk ganti pemerintahan masuk kan mrk ke penjara
Paru2 dunia itu kini jd rusak,0,Paru dunia itu kini jd rusak
"Naahh inilah akibatnya klo sudah gini alam rusak, mikirnya asal uang org org tak tgung jawab, kasian satwa nya dasar manusia perusaaakkkkk",0,Naahh inilah akibatnya klo sudah gini alam rusak mikirnya asal uang org org tak tgung jawab kasian satwa nya dasar manusia perusaaakkkkk
Up,1,Up
Wellcome to the jungle...<br><br>Masih mau lanjutin rezim ?,1,Wellcome to the jungleMasih mau lanjutin rezim
"Dahulu penjajah kesulitan melawan indonesia karna indonesia memakai sistem perang grilya. Sekarang hutan di indonesia berkurang, bisa jadi ini suatu hal untuk memperlemah sistem perang grilya.",1,Dahulu penjajah kesulitan melawan indonesia karna indonesia memakai sistem perang grilya Sekarang hutan di indonesia berkurang bisa jadi ini suatu hal untuk memperlemah sistem perang grilya
"Manusia udah banyak itulah epeknya akan terjadi pembangunan dimana mana akhir zaman ya jangan kaget ,kebutuhan manusia juga makin banyak lain dulu sekarang kendaraan makin banyak ,itu udah disediakan oleh Allah untuk manusia yg harus kita ingat apa kita bersyukur jgn mengeluh kuatkan iman dan tekunlah ibadah tuk hadapi mahluk picek yg akan menghancurkan umat manusia .",2,Manusia udah banyak itulah epeknya akan terjadi pembangunan dimana mana akhir zaman ya jangan kaget kebutuhan manusia juga makin banyak lain dulu sekarang kendaraan makin banyak itu udah disediakan oleh Allah untuk manusia yg harus kita ingat apa kita bersyukur jgn mengeluh kuatkan iman dan tekunlah ibadah tuk hadapi mahluk picek yg akan menghancurkan umat manusia
"Daerah2 yang memiliki SDA besar malah tidak lebih maju dari daerah yang rendah SDA, Padahal salah satu pendapatan utama Negara kita kan JUAL SDA. Salam dari Halmahera, Tanahnya dikeruk habis2an, tapi feedbacknya tidak seimbang, jalan utama saja sebagian besar rusak",0,Daerah yang memiliki SDA besar malah tidak lebih maju dari daerah yang rendah SDA Padahal salah satu pendapatan utama Negara kita kan JUAL SDA Salam dari Halmahera Tanahnya dikeruk habisan tapi feedbacknya tidak seimbang jalan utama saja sebagian besar rusak
Rezim racun Bangsa,0,Rezim racun Bangsa
Ini proyek ambisi krn pilpres 2024 sdh dekat....!!!,1,Ini proyek ambisi krn pilpres sdh dekat
"Anak2 kalimantan harusnya ikut jaga hutan mereka. Jangan menunggu pemerintah, ga akan bener. Hayu donk, semangat!",1,Anak kalimantan harusnya ikut jaga hutan mereka Jangan menunggu pemerintah ga akan bener Hayu donk semangat
Kerja jokowi itu dulunya tukang meabel sekarang jd presiden engga heran bebas tubang kayu,0,Kerja jokowi itu dulunya tukang meabel sekarang jd presiden engga heran bebas tubang kayu
"Biar Jawa aja yg rusak, Kalimantan, sumatera, Sulawesi, Papua dan Pulau yg lain biar tetap hijau lestari",0,Biar Jawa aja yg rusak Kalimantan sumatera Sulawesi Papua dan Pulau yg lain biar tetap hijau lestari
Manusia adalah mahlukhidup primata yang mengancam kehidupan hewan,0,Manusia adalah mahlukhidup primata yang mengancam kehidupan hewan
pembukaan lahan sawit yang menjadi penyebab utama kehancuran hutan. kalau pertambangan emas mereka beroperasi sekitar sungai sungai yang bikin pendangkalan.,0,pembukaan lahan sawit yang menjadi penyebab utama kehancuran hutan kalau pertambangan emas mereka beroperasi sekitar sungai sungai yang bikin pendangkalan
Pemerintah serakah,1,Pemerintah serakah
Tekonologi hasil hutan...,1,Tekonologi hasil hutan
"Apa nyimak berita nih pejabat pusat dan daerah kalimantan tengah , somga melek hati dan pikiran nya",0,Apa nyimak berita nih pejabat pusat dan daerah kalimantan tengah somga melek hati dan pikiran nya
semua keputusan pak Jokowi adalah jalan terbaik menurut ku gk usah protes sih.ya nikmatin aja..iakan,2,semua keputusan pak Jokowi adalah jalan terbaik menurut ku gk usah protes sihya nikmatin ajaiakan
"indonesia paru paru dunia, tapi indonesia ndak dapat apa apa, indonesia lebih butuh makan cok.",0,indonesia paru paru dunia tapi indonesia ndak dapat apa apa indonesia lebih butuh makan cok
Akibat manusia rakus....,1,Akibat manusia rakus
"AKU(ALLAH SWT)YG MENUMBUHKAN TANAMAN,AKU YG MENYUBURKAN HUTAN.KALIAN MANUSIA YG MERUSAK.MAKA KALIAN JUGA YG AKAN AKU(ALLAH SUBHANAWATA&#39;ALA)SIKSA...",0,AKUALLAH SWTYG MENUMBUHKAN TANAMANAKU YG MENYUBURKAN HUTANKALIAN MANUSIA YG MERUSAKMAKA KALIAN JUGA YG AKAN AKUALLAH SUBHANAWATAALASIKSA
Allah subhanawata&#39;ala sudah berfirman di dalam ayat suci Alqur&#39;an.bahwa...klu kalian merusak hutan yg AKU(Allah swt)ciptakan...<br>lihat lah oleh kalian.akan AKU SIKSA KALIAN DENGAN SIKSA YG SANGAT PEDIH.JANJIKU PASTI(QUNFAYAKUN),0,Allah subhanawataala sudah berfirman di dalam ayat suci Alquranbahwaklu kalian merusak hutan yg AKUAllah swtciptakanlihat lah oleh kalianakan AKU SIKSA KALIAN DENGAN SIKSA YG SANGAT PEDIHJANJIKU PASTIQUNFAYAKUN
Investasi lebih bnyak merusak ketimbang membangun,0,Investasi lebih bnyak merusak ketimbang membangun
"ntar giliran oksigen waktu nya bayar, baru nyengir dan nyesel.... gantian diambang punah baru mikir.... memang lucu kok manusia glutony mah",0,ntar giliran oksigen waktu nya bayar baru nyengir dan nyesel gantian diambang punah baru mikir memang lucu kok manusia glutony mah
"duitnya bukan dibuat untuk bikin air bersih se DKI biar ga pake sumur lagi, eh malah rusak pulau lain biar pas hari kiamat dijakarta bisa ditonton dari intana negara yg baru. gali lubang tutup lubang,.. yg di demo mati matian malah pembangunan gereja, bukan yg begini begini. nasib lu indon... sedih Amat.",0,duitnya bukan dibuat untuk bikin air bersih se DKI biar ga pake sumur lagi eh malah rusak pulau lain biar pas hari kiamat dijakarta bisa ditonton dari intana negara yg baru gali lubang tutup lubang yg di demo mati matian malah pembangunan gereja bukan yg begini begini nasib lu indon sedih Amat
"tunggu je ancur , perlahan dan menyakitkan, dan diorang tak sadar dengan kondisinya sendiri yg semakin hancur secara perlahan",0,tunggu je ancur perlahan dan menyakitkan dan diorang tak sadar dengan kondisinya sendiri yg semakin hancur secara perlahan
Klo IKN?,1,Klo IKN
"Mari kita tunggu disaat IKN sdh jadi, saya yakin banyak putra daerah jadi babu, mau hidup dihutan? Gk bisa bos, hutan dah habis kaya jakarta, siap2 jdi langganan banjir, karena daerah Banjarmasin, Banjar baru, Martapura sudah bisa banjir, kalo dulu tidak pernah banjir, terima kasih pak de wowo dan jajaran banteng 😂😂",0,Mari kita tunggu disaat IKN sdh jadi saya yakin banyak putra daerah jadi babu mau hidup dihutan Gk bisa bos hutan dah habis kaya jakarta siap jdi langganan banjir karena daerah Banjarmasin Banjar baru Martapura sudah bisa banjir kalo dulu tidak pernah banjir terima kasih pak de wowo dan jajaran banteng
Di tanam lagi dong,2,Di tanam lagi dong
Kalianlah narasi... yg terdepan ... smoga selalu teliti dan tajam pada orang yg rakus kapitalistik,1,Kalianlah narasi yg terdepan smoga selalu teliti dan tajam pada orang yg rakus kapitalistik
Harusnya penebangan liar untuk itulah yang kalian demo <br>Sudah merusak hutan satwa liar jadi hilang<br>Ada jelasnya kalian perjuanganin tanah sendiri,0,Harusnya penebangan liar untuk itulah yang kalian demo Sudah merusak hutan satwa liar jadi hilangAda jelasnya kalian perjuanganin tanah sendiri
Mungkin niatnya baek...agar kalimantan bs segermelap hongkong dan singapur😂,2,Mungkin niatnya baekagar kalimantan bs segermelap hongkong dan singapur
Sejuk membara<br>Hutanku hilang <br>Tidak ada manfaat positif dengan kebun kelapa sawit dan pertambangan...<br>Terjadi kolonialisme...<br>Di Indonesia.,0,Sejuk membaraHutanku hilang Tidak ada manfaat positif dengan kebun kelapa sawit dan pertambanganTerjadi kolonialismeDi Indonesia
"Dulu itu Indonesia dari hutan hutannya termasuk seperempat paru paru dunia ,sekarang 😢",0,Dulu itu Indonesia dari hutan hutannya termasuk seperempat paru paru dunia sekarang
"Orang orang di perkotaan hanya bisa bersuara jaga hutan-jaga hutan, tpi tidak memperhatikan kesejahteraan masyarakat yg jauh tertinggal. saat masyarakat bergerak ingin maju, maka hutan adalah sasaran. Karena cuma itu cara mereka bs lakukan.",0,Orang orang di perkotaan hanya bisa bersuara jaga hutanjaga hutan tpi tidak memperhatikan kesejahteraan masyarakat yg jauh tertinggal saat masyarakat bergerak ingin maju maka hutan adalah sasaran Karena cuma itu cara mereka bs lakukan
Ya bisa digunakan seperlunya aja jangan ugal2an,2,Ya bisa digunakan seperlunya aja jangan ugalan
"Selama kemiskinan masih menyelimuti dan dirasakan rakyat pedalaman Kalimantan, Hutan tidak akan mampu di pertahankan, karena hal tsb adalah satu satunya cara mereka bisa hidup layak. Utk pemerintah: Tingkatkan kesejahteraan masyarakatnya, jika ingin masyarakat bs menjaga hutan nya.",2,Selama kemiskinan masih menyelimuti dan dirasakan rakyat pedalaman Kalimantan Hutan tidak akan mampu di pertahankan karena hal tsb adalah satu satunya cara mereka bisa hidup layak Utk pemerintah Tingkatkan kesejahteraan masyarakatnya jika ingin masyarakat bs menjaga hutan nya
"Segmen2 yg diberikan tuhan sbg proses n prosedur akn hancurnya bumi oleh penghuni bumi,,,tak bs dipungkiri jk sesuatu tu ada masa/waktunya smw tp dtg nya masa tu bs lbh lama atau pun lbh cpt tergantung pd pemakai bumi tu sndri,jk skrg mah diliat2 bumi udh dlm proses penghancuran total,,,sampah dimana2 byk,cuaca jd extrem perubahannya srrtu suhu yg semakin panas,tak bs dipungkiri manusia nya yg pling berkontribusi tuk tu smw,,,seberapa mw menyelamatkan humi tu tergantung pd mamusia yg diciptakan tuhan sbg penghuni yg dominan dlm mengontrol bumi.",0,Segmen yg diberikan tuhan sbg proses n prosedur akn hancurnya bumi oleh penghuni bumitak bs dipungkiri jk sesuatu tu ada masawaktunya smw tp dtg nya masa tu bs lbh lama atau pun lbh cpt tergantung pd pemakai bumi tu sndrijk skrg mah diliat bumi udh dlm proses penghancuran totalsampah dimana bykcuaca jd extrem perubahannya srrtu suhu yg semakin panastak bs dipungkiri manusia nya yg pling berkontribusi tuk tu smwseberapa mw menyelamatkan humi tu tergantung pd mamusia yg diciptakan tuhan sbg penghuni yg dominan dlm mengontrol bumi
Faktor nya ...ulah manusia2 serakah perusak Alam ya itu.,0,Faktor nya ulah manusia serakah perusak Alam ya itu
Kafitalis😢,0,Kafitalis
"Selama elite elite oligarki tetap ada dan tidak punya pemimpin yg pintar mengatur negeri ini, yakinlahhhhh yakinlahhhh... Indonesia akan hancurrrr... Papua akan hancur... Kalimantan akan hancurrr,, bersiaplah rakyat kecil tersingkir oleh bencana alam dan lain2 akibat ulah elite oligarki yg bermain main dengan bumi dan tanah air negeri kita",0,Selama elite elite oligarki tetap ada dan tidak punya pemimpin yg pintar mengatur negeri ini yakinlahhhhh yakinlahhhh Indonesia akan hancurrrr Papua akan hancur Kalimantan akan hancurrr bersiaplah rakyat kecil tersingkir oleh bencana alam dan lain akibat ulah elite oligarki yg bermain main dengan bumi dan tanah air negeri kita
"Suatu saat nanti kalimantan akan seperti jakarta <a href=""http://www.youtube.com/results?search_query=%23jokowi"">#jokowi</a>",2,Suatu saat nanti kalimantan akan seperti jakarta jokowi
😂😂😂😂😂😂😂warga kalimantan nya pada tidur😂😂😂😂😂😂,0,warga kalimantan nya pada tidur
"Masa sih pribumi cuma di janjikan dapat kerjaan rela hutannya di gundul,",0,Masa sih pribumi cuma di janjikan dapat kerjaan rela hutannya di gundul
oligarki adalah jalan ninjaku - mungkin kata pemerintah,0,oligarki adalah jalan ninjaku mungkin kata pemerintah
Jika para pelakunya baik itu dari mereka yang memberi izin dan yang mengeksekusi hutannya tak mendapat hukuman di dunia tunggulah nanti di akhirat karena merusak alam itu salah satu dosa yang besar.,0,Jika para pelakunya baik itu dari mereka yang memberi izin dan yang mengeksekusi hutannya tak mendapat hukuman di dunia tunggulah nanti di akhirat karena merusak alam itu salah satu dosa yang besar
"Akibat pemimpin tdk paham dan tdk punya kuasa, hanya didikte oleh partai, oligarki dan kepentingannya sendiri, rusak dan habislah hutan dan sumber daya alam kita 😢",1,Akibat pemimpin tdk paham dan tdk punya kuasa hanya didikte oleh partai oligarki dan kepentingannya sendiri rusak dan habislah hutan dan sumber daya alam kita
Yg eksekusi Prabowo dan Gerindra yg disalahkan presiden nya,1,Yg eksekusi Prabowo dan Gerindra yg disalahkan presiden nya
"Perusakan hutan entah namanya deforestasi adalah bentuk &#39;kejahatan&#39; karena imbas kerusakan setelahnya seperti bola salju bukan saja bagi manusia tapi bagi hewan dan lingkungan juga.di negeri konoha ini pelakunya jarang dibidik, sementara yang merubah tanah gersang digantar , indramayu menjadi hijau asri dan faunapun berkumpul kembali ,hari ini dibidik dengan pasal berlapis.sangat miris",0,Perusakan hutan entah namanya deforestasi adalah bentuk kejahatan karena imbas kerusakan setelahnya seperti bola salju bukan saja bagi manusia tapi bagi hewan dan lingkungan jugadi negeri konoha ini pelakunya jarang dibidik sementara yang merubah tanah gersang digantar indramayu menjadi hijau asri dan faunapun berkumpul kembali hari ini dibidik dengan pasal berlapissangat miris
"Pokoknya yang penting dapat cuan, klau gagal urusan belakang. Kalau rakyat demo cukup kerahkan polisi. Nanti juga bubar",1,Pokoknya yang penting dapat cuan klau gagal urusan belakang Kalau rakyat demo cukup kerahkan polisi Nanti juga bubar
Babad terus pak Jokowi hutannya...😂😂😂😂..demi invetasi abaikan saja AMDAL...bubar kan kementrian lingkungan hidup...,0,Babad terus pak Jokowi hutannyademi invetasi abaikan saja AMDALbubar kan kementrian lingkungan hidup
Tanyakan Pada Prabowo dan Gerindra yg diberi tanggung jawab eksekusi proyek,1,Tanyakan Pada Prabowo dan Gerindra yg diberi tanggung jawab eksekusi proyek
