normalized_text,label_manual
membangun infratsruktur lahan di gundulbuat food estate hutan di babatfood estatr  pun gagaldmn kelebihan jokowi sbenarnyahilirisasi nikel yang dibanggakan penambangannya banyak yang illegal,1
turut berduka sebagai rakyat hanya bisa jadi penonton oleh pemerintahan yang korup dan belum terciptanya pemerataan pembangunan maka jng pilih no karena melanggenkan lekuasaan dinasti nepotisme kolusi bagi kroninya,0
jagung  kan ditanam di polybag singkong  jg gagal hutan seluas itu digunduli tapi hasilnya mengecewakan tampak kurang  penelitian dan kajian mendalam dampak lingkungannya itu kan gimana coba belum lagi soal pt agrinas yang kepengurusannya sarat nepotisme rakyat cerdas kali tidak bisa dibohongi,0
pantesan pulau kalimantan daerahnya barusan barito dan daerah sensitif lainya daerah kalimantan sering banjir bandang sampai tiga meter empat meter tijggi banjirnya wong hutan lindung  di babat di gunduli ekosystem lingkungan rusak berat itu harus secepatnya di perbarui sebelum terlambat kalimantan tenggelam juga tanahnya terkikis air waduh,0
tidak usah complaint kalau kamu jga yang milih pejabat kamu sudah dikasih tau masih ngeyel mayoritas orang didaerah indonesia tuh masih bisa dipolitik pola pikirnya dengan bujuk ini itulah diimingin bakal maju lah tapi gak kritis males baca apa yang mau dibangun didaerahnya dan siapa yang diuntungkan milih pejabat saja mereka gak tau alasannya apa cma karena sekedar viral gimik tapi gak pernah riset orang yang mereka pilih itu gagasannya apa visinya apa yang akan dia bangun untuk daerah kalian mudah digiring opini sana sini yang belum tentu benar dan perihal lainnnya tapi lucunya bahkan sekarang pun masih ada berita pratik pejabat menggunakan cara yang kurang beretika aka ugalan tapi hal itu dianggap wajar oleh masyakarat  entah mereka sadar atau tidak sedang dipolitisasi pemegang kekuasaan yang besar dipolitik punya kesempatan besar juga untuk bermain hanya bisa berdoa yang terbaik buat orang di tanah air ini yang berjuang sungguh buat negera ini yang mungkin digempur habisan oleh mafia politikmungkin cepat atau lambat akan ada warga yang teriak bebaskan tanah kami padahal sebelumnya mereka dan pimpinannya setuju tanahnya digunakan oleh pengusaha dan mengumpat orang yang dlu padahal simpati padanya,0
hutan di tebang panglima jilah senang,0
perkebunan sawitterluas di duniaharga minyak goreng mahal mana manfaat  buat rakyatkecil,1
bisakah ini dibahas saat debat capres nanti bisa isu ini dijual ayoo siapa capres yang berani memperbaiki alam,1
rezim rusak alam dan merusak semua  usut tuntas ulah mrk ganti pemerintahan masuk kan mrk ke penjara,0
paru dunia itu kini jadi rusak,0
naahh inilah akibatnya kalau sudah gini alam rusak mikirnya asal uang orang orang tidak tanggung jawab kasian satwa  dasar manusia perusaaakkkkk,0
up,1
wellcome to the junglemasih mau lanjutin rezim,1
dahulu penjajah kesulitan melawan indonesia karena indonesia memakai sistem perang grilya sekarang hutan di indonesia berkurang bisa jadi ini suatu hal untuk memperlemah sistem perang grilya,1
manusia udah banyak itulah epeknya akan terjadi pembangunan dimana mana akhir zaman iya jangan kaget kebutuhan manusia juga makin banyak lain dulu sekarang kendaraan makin banyak itu udah disediakan oleh allah untuk manusia yang harus kita ingat apa kita bersyukur jangan mengeluh kuatkan iman dan tekunlah ibadah tuk hadapi mahluk picek yang akan menghancurkan umat manusia,2
daerah yang memiliki sda besar malah tidak lebih maju dari daerah yang rendah sda padahal salah satu pendapatan utama negara kita kan jual sda salam dari halmahera tanahnya dikeruk habisan tapi feedbacknya tidak seimbang jalan utama saja sebagian besar rusak,0
rezim racun bangsa,0
ini proyek ambisi karena pilpres sudah dekat,1
anak kalimantan harusnya ikut jaga hutan mereka jangan menunggu pemerintah tidak akan bener hayu dong semangat,1
kerja jokowi itu dulunya tukang meabel sekarang jadi presiden tidak heran bebas tubang kayu,0
agar jawa saja yang rusak kalimantan sumatera sulawesi papua dan pulau yang lain agar tetap hijau lestari,0
manusia adalah mahlukhidup primata yang mengancam kehidupan hewan,0
pembukaan lahan sawit yang menjadi penyebab utama kehancuran hutan kalau pertambangan emas mereka beroperasi sekitar sungai sungai yang bikin pendangkalan,0
pemerintah serakah,1
tekonologi hasil hutan,1
apa nyimak berita nih pejabat pusat dan daerah kalimantan tengah somga melek hati dan pikiran ,0
semua keputusan pak jokowi adalah jalan terbaik menurut ku gak usah protes sihya nikmatin ajaiakan,2
indonesia paru paru dunia tapi indonesia ndak dapat apa apa indonesia lebih butuh makan cok,0
akibat manusia rakus,1
akuallah swtyg menumbuhkan tanamanaku yang menyuburkan hutankalian manusia yang merusakmaka kalian juga yang akan akuallah subhanawataalasiksa,0
allah subhanawataala sudah berfirman di dalam ayat suci alquranbahwaklu kalian merusak hutan yang akuallah swtciptakanlihat lah oleh kalianakan aku siksa kalian dengan siksa yang sangat pedihjanjiku pastiqunfayakun,0
investasi lebih bnyak merusak ketimbang membangun,0
nanti giliran oksigen waktu  bayar baru nyengir dan nyesel gantian diambang punah baru mikir memang lucu  manusia glutony mah,0
duitnya bukan dibuat untuk bikin air bersih se dki agar tidak pake sumur lagi eh malah rusak pulau lain agar pas hari kiamat dijakarta bisa ditonton dari intana negara yang baru gali lubang tutup lubang yang di demo mati matian malah pembangunan gereja bukan yang begini begini nasib kamu indon sedih amat,0
tunggu je ancur perlahan dan menyakitkan dan diorang tidak sadar dengan kondisinya sendiri yang semakin hancur secara perlahan,0
kalau ikn,1
mari kita tunggu disaat ikn sudah jadi saya yakin banyak putra daerah jadi babu mau hidup dihutan gak bisa bos hutan sudah habis kaya jakarta siap jdi langganan banjir karena daerah banjarmasin banjar baru martapura sudah bisa banjir kalo dulu tidak pernah banjir terima kasih pak de wowo dan jajaran banteng,0
di tanam lagi dong,2
kalianlah narasi yang terdepan smoga selalu teliti dan tajam pada orang yang rakus kapitalistik,1
harusnya penebangan liar untuk itulah yang kalian demo sudah merusak hutan satwa liar jadi hilangada jelasnya kalian perjuanganin tanah sendiri,0
mungkin niatnya baekagar kalimantan bisa segermelap hongkong dan singapur,2
sejuk membarahutanku hilang tidak ada manfaat positif dengan kebun kelapa sawit dan pertambanganterjadi kolonialismedi indonesia,0
dulu itu indonesia dari hutan hutannya termasuk seperempat paru paru dunia sekarang,0
orang orang di perkotaan hanya bisa bersuara jaga hutanjaga hutan tpi tidak memperhatikan kesejahteraan masyarakat yang jauh tertinggal saat masyarakat bergerak ingin maju maka hutan adalah sasaran karena hanya itu cara mereka bisa lakukan,0
iya bisa digunakan seperlunya saja jangan ugalan,2
selama kemiskinan masih menyelimuti dan dirasakan rakyat pedalaman kalimantan hutan tidak akan mampu di pertahankan karena hal tsb adalah satu satunya cara mereka bisa hidup layak utk pemerintah tingkatkan kesejahteraan masyarakatnya jika ingin masyarakat bisa menjaga hutan ,2
segmen yang diberikan tuhan sbg proses n prosedur akn hancurnya bumi oleh penghuni bumitak bisa dipungkiri jk sesuatu tu ada masawaktunya smw tapi dtg  masa tu bisa lebih lama atau pun lebih cpt tergantung pada pemakai bumi tu sndrijk sekarang mah diliat bumi sudah dlm proses penghancuran totalsampah dimana bykcuaca jadi extrem perubahannya srrtu suhu yang semakin panastak bisa dipungkiri manusia  yang pling berkontribusi tuk tu smwseberapa mw menyelamatkan humi tu tergantung pada mamusia yang diciptakan tuhan sbg penghuni yang dominan dlm mengontrol bumi,0
faktor  ulah manusia serakah perusak alam iya itu,0
kafitalis,0
selama elite elite oligarki tetap ada dan tidak punya pemimpin yang pintar mengatur negeri ini yakinlahhhhh yakinlahhhh indonesia akan hancurrrr papua akan hancur kalimantan akan hancurrr bersiaplah rakyat kecil tersingkir oleh bencana alam dan lain akibat ulah elite oligarki yang bermain main dengan bumi dan tanah air negeri kita,0
suatu saat nanti kalimantan akan seperti jakarta jokowi,2
warga kalimantan  pada tidur,0
masa  pribumi hanya di janjikan dapat kerjaan rela hutannya di gundul,0
oligarki adalah jalan ninjaku mungkin kata pemerintah,0
jika para pelakunya baik itu dari mereka yang memberi izin dan yang mengeksekusi hutannya tidak mendapat hukuman di dunia tunggulah nanti di akhirat karena merusak alam itu salah satu dosa yang besar,0
akibat pemimpin tidak paham dan tidak punya kuasa hanya didikte oleh partai oligarki dan kepentingannya sendiri rusak dan habislah hutan dan sumber daya alam kita,1
yang eksekusi prabowo dan gerindra yang disalahkan presiden ,1
perusakan hutan entah namanya deforestasi adalah bentuk kejahatan karena imbas kerusakan setelahnya seperti bola salju bukan saja bagi manusia tapi bagi hewan dan lingkungan jugadi negeri konoha ini pelakunya jarang dibidik sementara yang merubah tanah gersang digantar indramayu menjadi hijau asri dan faunapun berkumpul kembali hari ini dibidik dengan pasal berlapissangat miris,0
pokoknya yang penting dapat cuan klau gagal urusan belakang kalau rakyat demo cukup kerahkan polisi nanti juga bubar,1
babad terus pak jokowi hutannyademi invetasi abaikan saja amdalbubar kan kementrian lingkungan hidup,0
tanyakan pada prabowo dan gerindra yang diberi tanggung jawab eksekusi proyek,1
presiden soeharto mertuanya prabowo dulu di tahun an punya program sawah sejuta hektar di kalimantan kejadiannya sama hutan sudah dibabat dan lingkungan rusak dan sawahnya tidak bisa di tanami dan proyek sawah sejuta hektar gagal total kenapa begitu tanah di kalimantan itu adalah tanah gambut yang phnya sangat asam dan sulit dinetralkan sampai mendekati ph bisa tapi mahal tidak ekonomis agar cocok untuk padi atau tanaman singkong kalau proyek itu gagaljokowi harus sadar tanah gambut itu cocoknya untuk tanaman keras tanaman hutan sekarang tinggal diperiksa saja uang proyeknya ada korupsi atau tidak,1
sedih iya,0
yang membuat kebijakan yang harus bertanggung jawab dan di tangkap utamanya presiden jokowi dodo,0
kayu borneo kayu ulin kayu jati item kayu gabus kayu dolken semuanya punah karena rakyat terus bertambah rakyat indonesia sudah banyak yang pusing puyeng dengan desakkan kebutuhan ekonomi tuntutan syahwat bela kepentingan syahwat akibatnya quot dibabat habis isi hutanalam jadi korban anak cucu tidak lagi nikmati tidak lagi punya kenangan esok lusa tunggu kemarahan alam kehancuran alam untuk di tumbalkan ditundukkan disembahkan kepada allah tuhan maha memelihara alammaha menundukkan alam allahu akbar tinggal mengutus angin badai akan meniupkan meluluhlantakkan,1
kebijakan terhadap tambang terkait revitalisasi dan pengijauaan kembali sering di idahkan kesannya mereka hanya mengeruk hasilnya lalu meninggalkannya hal ini terbukti banyak lahanquot bekas galian dibiarkan mengganga dan banyak lahannya tidak di hijaukan kembali dampaknya bisa di simpulkan sendiri,0
banjir januari di kalimantan selatan paling parah tapi kenapa tidak diliput yang diliput hanya kalteng kalbar saja padahal di kalsel dari kabupatenkotamadya ada kabupatenkotamadya terendam banjirbahkan tinggi air mencapai meter di kabupaten hstbanyak rumahbangunan hancur diterjang banjir dan memakan beberapa korban jiwa jugasaya sebagai orang di kabupaten hst menyaksikan sendiri situasi banjir saat itu rasanya seperti kiamattapi yang anehnya beritaberita di tv nasional memberitakannya biasa saja yang direkam hanya di daerah air yang surut sajaribuan warga terjebak diatas atap rumah siang malam kedinginan kehujanan kelaparan selama harihari ke pasca banjir tim emergency baru bisa memberikan bantuan itupun dengan usaha ekstra karena ketinggian air masih tinggi arus banjir masih deras,1
setuju hutan di babat untuk pembukaan lahan pertanian agar pangan indonesia terpenuhi jangan dengarkan omongan orang luar negeri,2
udah paling bener konsep federasi dimana setiap pulau mengurus daerahnya sendiri kebijakan pusat menghancurkan ekosistem daerah,1
nih chanel  fitnah pak soehartomin asal kau tau klw tidak ada pak soeharto negara ini sudah hancur jdi negara komunisgak tau diri,0
mau bagaimanapun semua butuh hutan dan kayu untuk furnitur kertas dan lain pro alam tidak usah pakai produk dri hutan pemukimam pun terus d buka d mna tidak bisa d hindari itu sya jga asli kalimantan bahkan ikn baru jga sdah babat brpa bnyak hutan,2
inilah buntut dari keserakahan manusia sangat mengerikan,0
pada intinya kapitalis ingin mengatur dan menguasai sda dunia di satu sisi para kapitalis butuh banyak sda di sisi lain mereka menggaungkan pentingnya lingkungan hidup mereka ingin sda murah para kapitalis menekan dengan isu lingkungan hidup jika keinginannya terganggu dan tidak terpenuhi padahal mereka juga yang sebetulnya merusak,0
gimana tidak banjir hutan setiap hari ditebang ber ponton ponton saban hari lewatt sungai bermuatan kayu diberau juga,0
kayu sawit pertambangan perubahan hutan di kalimantan proses deforestasi tree cover loss in indonesia dampak deforestasi dan emisi gas karbon kebijakan moratarium bukan solusi,1
negri ini di rusak tidak di lestarikan dwminproyek mega besar dan hutan hutan di babat kayunya untuk bisnis mafia mafia dan oknum cukong dan aseng berduit uannygya masuk  kemana hasil kayu pohon pohon yang di tebang,0
british bngt kwkwkw,1
hujan sebentar kita sudah kebanjiran apalagi kalau sudah jadi ibu kota,1
terima kasih pada para kapitalis dan guardiannya yaitu pemerintah atas keserakahannya mengeruk semua karta karun indonesia,0
ini tidak akan berakhir jika masyarakat kalimantan tidak bersatu melawan kebijakan yang merugikan mereka sendirimasyarakat uni eropa saja sudah menolak produk kelapa sawit indonesia demi terjaganya hutan indonesia,1
sumatera udah gundul duluan hutan nyaditanam sawit semuapanas cuaca  disini luar biasa,0
pertama terimakasih untuk redaksi team narasi telah menyampaikan informasi ini saya orang kaliamantan sebenarnya tau dan faham akan dampak ini tetapi dia pernah berpikir akan separah ini sedih dan berharap supaya para pemimpin tidak hanya mata duitan dalam menagani kasus ini kita lihat apakah masih di ijinkan membuka lahan baru lagi,1
menurut mimin apa yang harus kami lakukan sbgai orang asli kalimantan selama oligarki daerah punya sircle yang baik dgn penguasa pusat smua yang mimin ucapkan hanyalh sebuah dongeng belaka kami butuh solusi yang menguntungkn semua pihak tidak cma di ekspos saja tnpa tindkan semua pihak,1
tolong lah ikn dan perusahaan yang merusak kalimantan jangan di terima masyarakat sekitar tidak merasakan hasilnya juga amp malah muncul masalah baru yang sangat mengkhawatirkan kalimantan sekitar,1
jakarta saja hutannya dipindahin,1
paru paru dunia hancur,0
yang dikeruk alamnya kalimantan yang kaya orang jakarta,0
orang sampah yang hanya mikirin duitduitduit,0
itulah kerakusan pemerintahan indonesiayg mengakibat kan kehancuran bagi kehidupan,0
kalau kamu terbang dari kaltim ke kalsel atau dari kaltim ke kaltara pakai pesawat baling yang terbangnya relatif rendah atau naik mobil lintas kaltim kalsel akan nampak pemandangan petak sawit yang begitu luas tiada habisnya,1
indonesia tidak ada abisnya yang kecot,1
kenapa hanya kalbar kalteng kalsel juga kabupaten bos terendam banjir,0
ri negara terkorup nomer di dunia ini iya gini pejabatnya,1
makin panas  cuaca yang ada dikota di indonesia apakah pengaruh dari ada  deforestasi hutan yang ad dikalimantan kalau memang bener kacau yang pemegang regulasi,0
saya penduduk asli kalbardeforestasi di hutan kalimantan barat berdampak langsung terhadap iklim sangat benar adanya dampak yang sudah terjadi antara lain banjir iklim tidak menentu suhu terasa jauh lebih panas dan yang sangat disayangkan sudah banyak hutan adat yang sudah dialih fungsi kan menjadi lahan sawit yang menurut saya hutan adat ini adalah pertahan terakhir hutan kalimantan,0
sudah saatnya kalian bersatu untuk menolak defortasi hutan karena itu akan merugikan kalian sendiri,0
yaaaaa betul siii tapi kembali lagi yah kalau tidak ada sawit dan batubara kita semua mandi pakai sabun dan shampoo apa sikat gigi pakai apa kue cemilan pakai apa nge charge hp pakai apa malam panas pakai ac listriknya drmna kalau benci thdp kenyataan tsb jangan mandi jangan pakai hp jangan makan processed foodbisa ada harga yang hrs dibayargreen energy dooongg yakin bbm naik perak perak saja demo setengah matigreen energy bisa bayar x lipatnya yah mau gmana lgini lah kenyataan ini lah pola hidup kita selama inikita konsumen pun jg kontribusi thdp deforestasi inicheers,1
kalau saya  setuju hutan kalimantan gndul karena kita produksi oksigen tapi negara lain tidak pada bayar sisakan saja untuk oksigen kita sendiri flora dan fauna secukupnya,1
selama salah satu mata pencarian utama warga kalimantan adalah kerja pada perusahaan tambang susah juga,1
kalimantan selatan juga sama hujan hari juga bisa langsung banjir,0
sebagai orang asli kalimantan tengah sudah bukan rahasia umum lagi kalau hutan kalimantan sudah banyak yang di tebang mulai dari tambang ilegal dan legal perkebunan sawit perusahaan kayu punya peran sangat besar terhadap habisnya hutan kalimantan jika tidak ada ketegasan dari pemerintah dalam perawatan hutan kalimantan bukan tidak mungkin kalimantan akan lebih banyak lagi bencana yang melanda,0
emang di jakarta ada hutan meggurui pulau lain pulau jawa penuh manusia gada tuh yang sadar sampai mau tenggeleam juga,0
epic content,2
apakah hanya warga kalimantan yang harus bertanggung jawab menopang oksigen seluruh dunia kebun sawit dan tambang itu sudah mengantar putra putri kalimantan untuk bisa berkuliah sampai ke pulau jawa bahkan keluar negeri yang punya konsen dgn emisi karbon dll bisa lakukan tindakan ini jg tanam pohon banyak d lingkungan sendiri kurangi penggunaan listrik atau kurangi wara wiri dgn kendaraan pribadi kurangi naik pesawat karena itu penyumbang emisi tinggi kurangi makan daging hasil peternakan dll,0
kan memanfaatkan lahan yang tidak produktif hutan lindung itu tidak produktif semua demi cuan makanya saya bilang kalau pasar modal rontok habis bumi akan ada waktu utk perbaikan terbukti saat corona kemarin hanya kemudian corona ajang cuan lagi kalau pasar modal tidak rontok maka mereka tetap akan ada duitnya dan akan terus ekspansi salah satunya deforestasi bullshit lah ama regulasi ayo dukung deforestasi agar cuan,0
siapapun presidennya sama ajah pengeruk tukang keruk sda hanya lebih parah jokowi daripada suharto,0
program food security gagal totalpaling ujungnya dijadiin lahan sawit,0
apakah mereka orang istana tidak membaca komentar kami sebagai anak kalimantan,1
ini lagi mau mindahin ibu kota ke kalimantan bikin tambah rusak hutan disana,0
kalimantam sumatera bahkah papua saat ini tidak bisa hidup jika tidak membuka lahan perkebunan di hutan manusia semakin banyak kalau tidak bertani membuka hutan gimana mau memenuhi kebutuhan hidup pohon tinggi daun rindang udara segar tidak bisa di jadikan pembeli beras bayar spp sekolah anak jajan anak kalau orang luar negeri merasa indonesia paru dunia dan minta agar jangan merambah hutan harusnya orang itu bayar jika ingin menjadikan indonesia paru dunia biayai hidup orang di kalimantan sumatera papua saya yakin jika ada timbal balik orang juga malas bertani berkebun mereka siap untuk tidak buka lahan pertanian sawit jika kebutuhan hidup terpenuhi,0
kalau dibiarkan iya habis masyarkat bergerak dong klu ngarepin pemimpin dan wakil rakyatnya iya tidak bakalan mereka pikirannya hanya uang,1
semoga tidak ditambah lagi kerusakan hutan kalimantan,1
anggaplah semua itu telah terjadi quot hutan hancurrakyat kena imbas bencanaquot lalu hasil dari hutan itu ntah kemana dulu saya pernah berkuliah di fakultas kehutanan quotdeforestasiquot adalah salah satu mata kuliah tersendiri tidak lagi tergabung dlm ilmu kehutanan ini membuktikan bahwa hutan indonesia telah benarbenar hancur,1
apa kabarnya daerah kendawangan ketapang kalimantan barat tempat tambang bauksit biji besi tembang emas sawit bagaimana insfrastruktur disana hahaha jauh panggang dari api,0
emang ada benernya banyaknya populasi manusia bikin dunia dan alam rusak perlu adanya depopulasi manusia ini ,1
hutan dijaga hijau emank dunia kasih kompensasi yang setara dengan industrialisasiapbn pake uang bukan oksigen,1
buat organisasi yang merangkul aktivis lingkungan sebagai penyeimbang,2
narasi telat nih coba saja kalau waktu an ngeriset soal asal muasal kebakaran hutan pasti lebih keliatan bagaiamana hjtan dibabat habis,0
raja kalsel h isam raja kalteng h arsyadratu kaltim tan paulin,0
namanya juga tukang kayu iya kerjaannya hanya ngerusak,0
jakarta yang sekarang adalah gambaran kalimantan puluhan tahun kedepan siap kumuh ,0
bisnis bahannyaa dari perusahaan yang dimiliki para pejabat negara tambang luhut misalkan,0
dann dikemudian hari kalimantan akhirnya akan menjadi seperti wilayah sumatera hutan akan habis berganti menjadi perkebunan kelapa sawit ketika musim hujan selalu banjir ketika musim kemarau kebakaran dimana,0
hanya demi embelquot pemerataan pembangunankalimantan jadi korban yang berdampak ke perubahan iklim bumiquotkumaha maneh we lah jokowiquot,0
iya gimana nti tidak dibangun pemerataan orang luar pulau jawa ngamok dibilangnya jawa sentris pas dibangun nti dibilangnya ngerusak alam dan lingkunganpertanyaanya rakyat itu maunya apa kalo seperti gini saja serba salah,0
lama bisa jadi gurun,1
semoga pemerintahlembaga terkait lebih memperhatikan keberlangsungan hutan,2
kalau memang paru duniaapa kontribusi dunia untuk merawatnya nihil mending dlibangguntoh yang kena dampak pasti eropa yang jauh dari katulistiwa,1
si agil mana iya yang katanya ulama besar tapi menjadi kecil di depan perusak hutan,1
momentum untuk revolusi,2
tegakkan hukum adat kalimantan kalau punya karena dulu masih terjaganya hutan hanya dilakukan oleh masyarakat yang terikat adat setempat non adat yang tidak tinggal disana tidak akan menerima dampak langsung thd kerusakan lingkungan dengan alasan negara kesatuan maka orang luar merasa berhak juga atas hutan di wilayah adat karena itu bagian nkri,2
sekarang hukum adat bisa dibeli dngan uang,0
kukira dataran hutan ternyata lahan bisnis miris,0
berita penting seperti ini sayang hanya sedikit yang menonton mirisss,0
inilah oligarki jokowii sesungguh ,0
dan fakta parahnya adalah banyak anak lulusan sekolah baru selain ingin menjadi polisi tentara atau pns semacamnyabanyak dari mereka ingin bekerja di pertambangandengan alasan gajinya besargua bisa ngomong gini karena gua orang kalimantan selatan hulu sungai tengah barabai kalo kalian mau tau gua ngambil data dari anak sekolah angkatan gua lulusan sampai,0
batubara buat apa buat pembangkit tenaga listrik pltu masih menjadi pl dominan karena plt terbarukan belum cukup untuk memenuhi keb listrik semakin besar kebutuhan listrik semakin bnyak kita menebang hutan ditambah industri ev sedang digembor energi listrik bukan berarti ramah lingkungan kecuali plt terbarukan sudah menjadi kewajiban plta negara air pasti punya air melimpah plta angin indonesia jg disabut negara angin puluhan ribu kamu garis pantai plt panas bumi negara diapit cincin api dan pltm negara yang setiap hari disinari cahaya matahari kenapa masih pake batubara,0
kelakuan jokowi,0
sebenarny bisa kita pertahankan tetapi yang hirup oksigen kalimantan bayar jamin itu hutan balik lagi,1
sebelum ada gaung ikn orang besar kalimantan kolega gub dll sudah banyak yang jadi pengusaha tambang yang bikin bnjir dan longsor hidup mrk kaya dengan rmh mewah hasil tambang yang sebagian banyak illegal,1
up,0
percuma jika hanya wacana jika perusahaan itu tetap jalan,0
nafsu manusia,0
pulau klimantan pulau terbesar bgi nkri sangat wajar mnganak emaskn pulau kalimantan sngt cocok bikin ibu kota,2
katanya presiden aman mau buat ikn di sana karena tidak banjir yang saya tau kalimantan termasuk bagian paru dunia hutannya eh malah di tebangin buat lahan kelapa sawit dan juga bangunan ikn yang mengorbankan banyak hutan,0
mungkin sekarang paru  bunyinya gukgukgukguksama dgn si koruptor ,0
pulau paling hijau sekarang kebanjiran sungguh miris,0
makasi pak joko periode negri ini makin rusak,1
pengen tau gimana rasanya kembali ke periode zaman soekarno sampai sby,1
hutan dirusak giliran kena musibah tuhan yang disalahkandengan kata kata cobaan apalagi tuhan dan open donasian,0
narasi you are legend,2
alhamdulillah sudah banjir,0
ketika revolusi industri di benua lain adakah mereka merajuk kerusakan alam dilema perkebunan sawit meluas di situ habitat hutan hujan tropis menyusut jadi bagaimana manusia bisa menyeimbangkan ,2
aku sangat setuju kalo ada yang menciptakan pembatuan manusia seperti pada animemanga drstone,1
video yang bikin buzzer pemuja pemerintah tidak bisa berkomentar lagi,1
kalo semisal pemuja oknun pemerintah yang tidak korup dan kerjanya bener gimana kan mayoritas pemerintah kita tidak bener,0
itulah nasib kalimantan sekarang banjir sudah sering melanda dan udara terasa panas,1
ambisi bodoh sang the king of lips service,0
dunia bilang indonesia paruparu dunia tapi dunia asih membuat bom dan membuat asap dengan masifnya dibilang negara maju,1
mimin mau jadi kadrun iya,0
malu sama orang barat yang lebih ngerti alamallahu akbar,1
ngapain malu sama orang barat yang munafiq akutnegara barat adalah perusak bumi yang asligiliran pemanasan global negara yang masih punya hutan yang di salahainkalau beneran orang barat pinter tanam pohon dan bikin hutan lagi kaya di china,0
yo tidak tau  tanya saya,0
jangan di biarkan di kuasai orang luar kalimantan lestarikan hutan  buat sodara dayak pertahankansalam dari riau,1
pemerintahan  sendiri yang merusak negeri indonesia,0
